Product Key,Alternate Key,Name,Color,Size,Product Line,Model,Description,Product Status,Sub Category,Category
82,LE-1000,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
83,LE-1200,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
84,LE-1201,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
85,LE-1400,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
86,LE-3800,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
87,LE-5160,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
88,LE-6000,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
89,LE-7160,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
90,LE-8000,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
117,LN-1024,Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
118,LN-1032,Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
119,LN-1213,Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
120,LN-1220,Lock Nut 17,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
121,LN-1224,Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
122,LN-1420,Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
123,LN-1428,Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
124,LN-3410,Lock Nut 22,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
125,LN-3416,Lock Nut 23,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
126,LN-3816,Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
127,LN-3824,Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
128,LN-4400,Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
129,LN-5161,Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
130,LN-5162,Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
131,LN-5400,Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
132,LN-5811,Lock Nut 20,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
133,LN-5818,Lock Nut 21,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
134,LN-6320,Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
135,LN-7161,Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
136,LN-7162,Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
137,LN-8320,Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
138,LN-9080,Lock Nut 19,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
139,LN-9161,Lock Nut 18,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
140,LR-2398,Lock Ring,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
141,LR-8520,Lower Head Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
142,LW-1000,Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
143,LW-1200,Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
144,LW-1201,Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
145,LW-1400,Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
146,LW-3400,Lock Washer 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
147,LW-3800,Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
148,LW-4000,Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
149,LW-5160,Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
150,LW-5800,Lock Washer 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
151,LW-6000,Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
152,LW-7160,Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
153,LW-8000,Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
154,LW-9160,Lock Washer 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
155,MA-7075,Metal Angle,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
156,MB-2024,Metal Bar 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
157,MB-6061,Metal Bar 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
158,MP-2066,Metal Plate 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
159,MP-2503,Metal Plate 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
160,MP-4960,Metal Plate 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
161,MS-0253,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
162,MS-1256,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
163,MS-1981,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
164,MS-2259,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
165,MS-2341,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
166,MS-2348,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
167,MS-6061,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
168,MT-1000,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
169,NI-4127,LL Nipple,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
170,NI-9522,HL Nipple,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
171,PA-187B,Paint - Black,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
172,PA-361R,Paint - Red,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
173,PA-529S,Paint - Silver,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
174,PA-632U,Paint - Blue,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
175,PA-823Y,Paint - Yellow,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
176,PB-6109,Pinch Bolt,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
177,RA-2345,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
178,RA-7490,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
179,RF-9198,Reflector,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
180,RM-M464,LL Mountain Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
181,RM-M692,ML Mountain Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
182,RM-M823,HL Mountain Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
183,RM-R436,LL Road Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
184,RM-R600,ML Road Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
185,RM-R800,HL Road Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
186,RM-T801,Touring Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
187,SA-M198,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
188,SA-M237,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
189,SA-M687,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
190,SA-R127,LL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
191,SA-R430,ML Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
192,SA-R522,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
193,SA-T467,LL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
194,SA-T612,ML Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
195,SA-T872,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
196,SD-2342,LL Spindle/Axle,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
197,SD-9872,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
198,SH-4562,LL Shell,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
199,SH-9312,HL Shell,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
200,SK-9283,Spokes,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
201,SL-0931,Seat Lug,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
202,SM-9087,Stem,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
203,SP-2981,Seat Post,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
204,SR-2098,Steerer,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
205,SS-2985,Seat Stays,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
206,ST-9828,Seat Tube,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
207,TO-2301,Top Tube,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
208,TP-0923,Tension Pulley,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
209,RC-0291,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
210,FR-R92B-58,"HL Road Frame - Black, 58",Black,58,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
211,FR-R92R-58,"HL Road Frame - Red, 58",Red,58,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
212,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
213,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
214,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
215,HL-U509,"Sport-100 Helmet, Black",Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
216,HL-U509,"Sport-100 Helmet, Black",Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
217,HL-U509,"Sport-100 Helmet, Black",Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
218,SO-B909-M,"Mountain Bike Socks, M",White,M,M ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate,Socks,Clothing
219,SO-B909-L,"Mountain Bike Socks, L",White,L,M ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate,Socks,Clothing
220,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
221,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,Helmets,Accessories
222,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
223,CA-1098,AWC Logo Cap,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate,Caps,Clothing
224,CA-1098,AWC Logo Cap,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate,Caps,Clothing
225,CA-1098,AWC Logo Cap,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current,Caps,Clothing
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate,Jerseys,Clothing
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
238,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
239,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
240,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
241,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
242,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
243,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
244,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
245,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
246,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
247,FR-R92R-52,"HL Road Frame - Red, 52",Red,52,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
248,FR-R92R-52,"HL Road Frame - Red, 52",Red,52,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate,Road Frames,Components
